,timestamp_temperature,value_type_temperature,value_temperature,timestamp_new,timestamp_humidity,value_type_humidity,value_humidity,timestamp_P1,value_type_P1,value_P1,timestamp_P2,value_type_P2,value_P2
36,2023-02-04 05:58:56.944309+00:00,temperature,18,2023-02-04 05:58:56+00:00,2023-02-04 05:58:56.944309+00:00,humidity,91,2023-02-04 05:58:56.944311+00:00,P1,30.0,2023-02-04 05:58:56.944311+00:00,P2,11.0
37,2023-02-04 06:01:37.381724+00:00,temperature,19,2023-02-04 06:01:37+00:00,2023-02-04 06:01:37.381724+00:00,humidity,91,2023-02-04 06:01:37.381743+00:00,P1,18.0,2023-02-04 06:01:37.381743+00:00,P2,9.0
38,2023-02-04 06:04:17.403222+00:00,temperature,19,2023-02-04 06:04:17+00:00,2023-02-04 06:04:17.403222+00:00,humidity,90,2023-02-04 06:04:17.460168+00:00,P1,32.0,2023-02-04 06:04:17.460168+00:00,P2,10.0
39,2023-02-04 06:06:57.868318+00:00,temperature,19,2023-02-04 06:06:57+00:00,2023-02-04 06:06:57.868318+00:00,humidity,91,2023-02-04 06:06:57.868334+00:00,P1,14.0,2023-02-04 06:06:57.868334+00:00,P2,11.0
40,2023-02-04 06:09:38.362683+00:00,temperature,19,2023-02-04 06:09:38+00:00,2023-02-04 06:09:38.362683+00:00,humidity,90,2023-02-04 06:09:38.361867+00:00,P1,29.0,2023-02-04 06:09:38.361867+00:00,P2,13.0
41,2023-02-04 06:12:18.436048+00:00,temperature,19,2023-02-04 06:12:18+00:00,2023-02-04 06:12:18.436048+00:00,humidity,89,2023-02-04 06:12:18.438049+00:00,P1,20.0,2023-02-04 06:12:18.438049+00:00,P2,11.0
42,2023-02-04 06:14:58.286043+00:00,temperature,19,2023-02-04 06:14:58+00:00,2023-02-04 06:14:58.286043+00:00,humidity,87,2023-02-04 06:14:58.288202+00:00,P1,17.0,2023-02-04 06:14:58.288202+00:00,P2,8.0
43,2023-02-04 06:17:38.667875+00:00,temperature,19,2023-02-04 06:17:38+00:00,2023-02-04 06:17:38.667875+00:00,humidity,86,2023-02-04 06:17:38.667884+00:00,P1,13.0,2023-02-04 06:17:38.667884+00:00,P2,10.0
44,2023-02-04 06:20:19.227450+00:00,temperature,19,2023-02-04 06:20:19+00:00,2023-02-04 06:20:19.227450+00:00,humidity,86,2023-02-04 06:20:19.227524+00:00,P1,14.0,2023-02-04 06:20:19.227524+00:00,P2,10.0
45,2023-02-04 06:22:58.685758+00:00,temperature,20,2023-02-04 06:22:58+00:00,2023-02-04 06:22:58.685758+00:00,humidity,84,2023-02-04 06:22:58.687056+00:00,P1,26.0,2023-02-04 06:22:58.687056+00:00,P2,8.0
46,2023-02-04 06:25:38.931872+00:00,temperature,20,2023-02-04 06:25:38+00:00,2023-02-04 06:25:38.931872+00:00,humidity,83,2023-02-04 06:25:38.929822+00:00,P1,27.0,2023-02-04 06:25:38.929822+00:00,P2,11.0
47,2023-02-04 06:28:18.937462+00:00,temperature,20,2023-02-04 06:28:18+00:00,2023-02-04 06:28:18.937462+00:00,humidity,83,,,,,,
48,2023-02-04 06:30:59.525798+00:00,temperature,20,2023-02-04 06:30:59+00:00,2023-02-04 06:30:59.525798+00:00,humidity,81,2023-02-04 06:30:59.526649+00:00,P1,20.0,2023-02-04 06:30:59.526649+00:00,P2,9.0
49,2023-02-04 06:33:39.149496+00:00,temperature,21,2023-02-04 06:33:39+00:00,2023-02-04 06:33:39.149496+00:00,humidity,81,,,,,,
50,2023-02-04 06:36:19.347603+00:00,temperature,21,2023-02-04 06:36:19+00:00,2023-02-04 06:36:19.347603+00:00,humidity,76,2023-02-04 06:36:19.347586+00:00,P1,18.0,2023-02-04 06:36:19.347586+00:00,P2,8.0
51,2023-02-04 06:38:59.716498+00:00,temperature,21,2023-02-04 06:38:59+00:00,2023-02-04 06:38:59.716498+00:00,humidity,74,2023-02-04 06:38:59.716146+00:00,P1,104.0,2023-02-04 06:38:59.716146+00:00,P2,8.0
52,2023-02-04 06:41:39.562097+00:00,temperature,21,2023-02-04 06:41:39+00:00,2023-02-04 06:41:39.562097+00:00,humidity,71,2023-02-04 06:41:39.560030+00:00,P1,17.0,2023-02-04 06:41:39.560030+00:00,P2,5.0
53,2023-02-04 06:44:19.326453+00:00,temperature,21,2023-02-04 06:44:19+00:00,2023-02-04 06:44:19.326453+00:00,humidity,70,2023-02-04 06:44:19.323360+00:00,P1,18.0,2023-02-04 06:44:19.323360+00:00,P2,6.0
54,2023-02-04 06:46:59.286986+00:00,temperature,22,2023-02-04 06:46:59+00:00,2023-02-04 06:46:59.286986+00:00,humidity,70,2023-02-04 06:46:59.287009+00:00,P1,21.0,2023-02-04 06:46:59.287009+00:00,P2,7.0
55,2023-02-04 06:49:40.156964+00:00,temperature,22,2023-02-04 06:49:40+00:00,2023-02-04 06:49:40.156964+00:00,humidity,66,2023-02-04 06:49:40.156928+00:00,P1,19.0,2023-02-04 06:49:40.156928+00:00,P2,7.0
56,2023-02-04 06:52:20.294493+00:00,temperature,22,2023-02-04 06:52:20+00:00,2023-02-04 06:52:20.294493+00:00,humidity,65,2023-02-04 06:52:20.293391+00:00,P1,39.0,2023-02-04 06:52:20.293391+00:00,P2,5.0
57,2023-02-04 06:54:59.773980+00:00,temperature,22,2023-02-04 06:54:59+00:00,2023-02-04 06:54:59.773980+00:00,humidity,67,2023-02-04 06:54:59.773991+00:00,P1,20.0,2023-02-04 06:54:59.773991+00:00,P2,6.0
